endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error
viability_percent,legacy_wetlab_EXP6105,legacy_wetlab,53.08,59.98966277806832,58.82787157296399,6.9096627780683235,47.743439706622866
viability_percent,legacy_wetlab_EXP8103,legacy_wetlab,69.97,73.10747959648981,55.100441336705124,3.1374795964898112,9.843778218389868
viability_percent,legacy_wetlab_EXP9101,legacy_wetlab,75.43,72.16836875675209,55.242218144492185,3.261631243247919,10.638238366930967
viability_percent,legacy_lit_3,legacy_literature,77.74,63.98304486179172,55.485505705343556,13.756955138208276,189.25381467467508
viability_percent,legacy_lit_15,legacy_literature,89.8,56.12701936155589,56.588367391928045,33.67298063844411,1133.8696250770317
viability_percent,legacy_lit_35,legacy_literature,80.0,63.98304486179172,55.485505705343556,16.01695513820828,256.54285189937667
viability_percent,legacy_lit_37,legacy_literature,100.0,68.6376472990908,55.71079953753629,31.3623527009092,983.5971669362265
viability_percent,legacy_lit_38,legacy_literature,100.0,70.39611179377825,55.856021460729636,29.603888206221754,876.3901969264755
viability_percent,legacy_lit_46,legacy_literature,65.0,56.842814583386854,58.119872257583616,8.157185416613146,66.53967392100618
viability_percent,legacy_lit_49,legacy_literature,88.5,61.05294606719472,58.90963563864669,27.447053932805282,753.3407695903219
viability_percent,legacy_lit_52,legacy_literature,47.0,53.958542786946936,55.30514447925998,6.958542786946936,48.421317717771224
viability_percent,legacy_lit_67,legacy_literature,56.0,57.415984545042356,58.31803167570737,1.415984545042356,2.005012231798808
viability_percent,legacy_lit_71,legacy_literature,76.0,55.82075037055076,57.55200461878502,20.179249629449238,407.2021156076272
viability_percent,legacy_lit_87,legacy_literature,49.3,54.55227844716699,58.21961654425867,5.252278447166994,27.586428886574925
viability_percent,legacy_lit_96,legacy_literature,64.3,59.646411553812065,59.05945603352538,4.653588446187932,21.65588542649381
viability_percent,legacy_lit_109,legacy_literature,95.0,65.89250020788081,58.514812729667014,29.107499792119185,847.2465441482184
