round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,production_strategy,strategy_decision_id
ROUND_008,8,screening_only,formal_frozen,prospective_performance,bias,,32.825136890212086,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.4166666666666667,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,1.0,0.7574992425007574,1.0,12.0,0.0,current,historical_current
ROUND_008,8,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_058f0d84ea0e,37.480000000000004,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_4d49c0b641bb,3.4425,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_6f20e63adb1d,59.495,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_7371aa062562,44.63,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_74bd7b4dd0a7,36.2425,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_958a475d561d,57.575,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_a4c0156ecbf5,31.7125,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_a5836ff741f8,56.879999999999995,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_e4e4fdaec9b1,40.82,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_e520c20c7441,28.485,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_ee0e6b6d09bd,19.58,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_f87d5e9bf5a4,14.515,,,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,median_iqr,,36.86125,26.25875,47.6925,,,current,historical_current
ROUND_009,9,mechanics_bootstrap,formal_frozen,prospective_performance,mae,,22.30834567647157,,,,,current,historical_current
